
2013-12-11 03:14:38,106 INFO     RMDIR: tk103pid_16452
2013-12-11 04:29:54,884 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042949180.9900000000L00A9C2F0))
2013-12-11 04:29:59,324 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0343N07714.1189E000.0142455131.1900000000L00A9AB51))
2013-12-11 04:29:59,325 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0343N07714.1189E000.0142455131.1900000000L00A9AB51))
2013-12-11 04:30:03,864 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042958180.9900000000L00A9C2F0))
2013-12-11 04:30:03,864 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042958180.9900000000L00A9C2F0))
2013-12-11 04:30:08,303 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0343N07714.1189E000.0142435131.1900000000L00A9AB51))
2013-12-11 04:30:08,304 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0343N07714.1189E000.0142435131.1900000000L00A9AB51))
2013-12-11 04:30:12,690 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0043008180.9900000000L00A9C2F0))
2013-12-11 04:30:12,690 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0043008180.9900000000L00A9C2F0))
2013-12-11 04:33:43,153 INFO     RMDIR: tk103pid_16903
2013-12-11 04:33:43,154 INFO     Time delta: 0:02:26
2013-12-11 04:33:43,155 INFO     Server loop running in process:16919
2013-12-11 04:33:43,155 INFO     No packets in waiting queue
2013-12-11 04:33:48,156 INFO     No packets in waiting queue
2013-12-11 04:33:53,156 INFO     No packets in waiting queue
2013-12-11 04:33:55,205 DEBUG    New request
2013-12-11 04:33:55,205 INFO     handle start, pid: 16919
2013-12-11 04:33:55,205 DEBUG    [PID: 16919] created tk103pid_16919
2013-12-11 04:33:55,724 DEBUG    [PID: 16919] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0043339180.9900000000L00A9C2F0))
